
Arnd Dörfling,
Arne Aas,
Arne Arnbom,
Arne Böge,
Arne Retzlaff,
Arn Goerke,
Arnim Halter,
Arno Cabisius,
Arnold Marlé,
Arnold Preuß,
Arno Waschk,
Arno Wüstenhöfer,
Arnulf Schröder,
Aron Stiehl  .,
Aron Stiehl,
Árpád Schilling,
Artak Grigorjan,
Arthur Bergen,
Arthur Deetz,
Arthur Eggeling,
Arthur Fagen,
Arthur Hellmer,
Arthur Jopp,
Arthur Köstler,
Arthur Laurents,
Arthur Pohl,
Arthur von Gerlach,
Arthur Woltersdorff,
Artur Dinter,
Arturo Gama,
Arwid Klaws,
Asher Fisch,
Askan Geisler,
Astrid Griesbach,
Astrid Jacob,
Astrid Kohlmeier,
Athena Scheiber,
Atif Hussein,
Atle Knudsen,
Attila Vidnyánszky,
Attilio Cremonesi,
Aud Egede-Nissen,
August Bassermann,
August Becker,
August Bournonville,
August Everding,
August Förster,
August Harlacher,
Augustin Jagg,
Augustinus von Loe,
August Lewald,
August Markwordt,
Augusto Boal,
Augusto Fernandes,
August Prost,
Aurelia Eggers,
Aurélien-Marie Lugné-Poe,
Aurelina Bücher,
Ava June,
Avishai Milstein,
Awni Karoumi,
Axel Delmar,
Axel Dietrich,
Axel Heil,
Axel J. Fündeling,
Axel Kober,
Axel Köhler,
Axel Krauße,
Axel Ranisch,
Axel Richter,
Axel Sichrovsky,
Axel Stöcker,
Axel von Ambesser,
Axel Vornam,
Axel Wandtke,
Babett Arens,
Babett Arnes,
Babette Barz,
Babette Peiker,
Babett Grube,
Bálász Kocsár,
Balász Kovalik,
Barbaa Neureiter,
Barbara Beyer,
Barbara Bürk,
Barbara David-Brüesch,
Barbara-David Brüesch,
Barbara Esser,
Barbara Falter,
Barbara Frazier,
Barbara Frey,
Barbara Grimm,
Barbara Gubenbecher,
Barbara Hauck,
Barbara Herold,
Barbara Kemp,
Barbara Klimo,
Barbara Magdalena Ahren,
Barbara Mundel,
Barbara Neureiter,
Barbara Nowotny,
Barbara Tacchini,
Barbara und Jürgen Esser,
Barbara Weber,
Barbara Wollrath-Kramer,
Bärfuss,
Barrie Kosky,
Barry Goldman,
Barry Kosky,
