organization;creators;title;directors;premiere
Brandenburgische Kulturstiftung Cottbus;Reiner Flath / Sigrun Fischer;Ich glaub, ne Dame wird ich nie;Reiner Flath;2006
Brandenburgische Kulturstiftung Cottbus;Richard Strauss;Salome;Reinhard Petersen / Martin Schüler;2008
Bregenzer Festspiele;Giacomo Puccini;Turandot;Paolo Carignani / Marco Arturo Marelli;2015
Bühne Baden;Emmerich Kálmán;Der Zigeunerprimas;Robert Herzl;2010
Bühne Baden;Emmerich Kálmán;Die Csárdásfürstin;Sebastian Reinthaller;2014
Bühne Baden;Franz Lehár;Das Land des Lächelns;Alexander Kuchinka;2015
Bühne Baden;Franz Lehár;Das Land des Lächelns;Franz Josef Breznik / Robert Herzl;2010
Bühne Baden;Franz Lehár;Paganini;Isabella Gregor;2015
Bühne Baden;Leon Jessel;Schwarzwaldmädel;Isabella Fritdum;2011
Bühne Baden;Thomas Meehan / Charles Strouse;Annie;Alexandra Frankmann;2014
Bühne Baden;Wolfgang Amadeus Mozart;Die Hochzeit des Figaro;Franz Josef Breznik / Robert Herzl;2013
Bühne Baden;Wolfgang Amadeus Mozart;Die Zauberflöte;Sebastian Reinthaller;2015
Bühnen Halle;Albert Guinovart;Mar i Cel;Hartmut H. Forche;2007
Bühnen Halle;Arthur Honegger;Johanna auf dem Scheiterhaufen;Freo Mejer;2008
Bühnen Halle;Axel Köhler / Björn Christian Kuhn;Greife wacker nach der Sünde;Klaus Dieter Kirst;2008
Bühnen Halle;Engelbert Humperdinck;Hänsel und Gretel;Pavel Baleff / Klaus Froboese;2007
Bühnen Halle;Gaetano Donizetti;Lucia di Lammermoor;Pavel Baleff / Paul Curran;2006
Bühnen Halle;Georg Friedrich Händel;Ariodante;Frederico Maria Sardelli;2007
Bühnen Halle;Giacomo Puccini;Il prigioniero/Suor Angelica;Roger Epple / G.H.Seebach;2008
Bühnen Halle;Giuseppe Verdi;Don Carlos;Karl-Heinz Steffens / Frank Hilbrich;2009
Bühnen Halle;Giuseppe Verdi;L’Orfeo;Kobie van Rensburg;2007
Bühnen Halle;Ingomar Grünauer;Vermessung des Unendlichen;Roger Epple / G. H. Seebach;2006
Bühnen Halle;Leo Fall;Madame Pompadour;Kay Stromberg / Aron Stiehl;2008
Bühnen Halle;Paul Lincke;Frau Luna;Kay Stromberg / Aron Stiehl;2007
Bühnen Halle;Peter Shaffer;Amadeus;Ralf Rossa;2006
Bühnen Halle;Pjotr Iljitsch Tschaikowski;Eugen Onegin;Pavel Baleff / Florentine Klepper;2008
Bühnen Halle;Richard Strauss;Der Rosenkavalier;Klaus Weise / Fred Berndt;2007
Bühnen Halle;Richard Wagner;Das Rheingold;Klaus Weise / Atif Hussein;2006
Bühnen Halle;Richard Wagner;Die Meistersinger von Nürnberg;Niksa Bareza / Frank Hilbrich;2007
Bühnen Halle;Robert Kurka;Der brave Soldat Schwejk;Andrea Moses;2009
Bühnen Halle;Vincenzo Bellini;Norma;Pavel Baleff / Helmut Polixa;2008
Bühnen Halle;Wolfgang Amadeus Mozart;Don Giovanni;Karl-Heinz Steffens / Helmut Polixa;2008
Bühnen Köln;Adolphe Adam;Giselle;Amanda Miller;2006
Bühnen Köln;Alban Berg;Wozzeck;Markus Stenz / Ingo Kerkhof;2011
Bühnen Köln;Albert Lortzing;Der Wildschütz;Martin Duncan / Enrico Dovico / Nigel Lowery;2009
Bühnen Köln;Amir Reza Koohestani;Einzelzimmer;Amir Reza Koohestani;2006
