organization;creators;title;directors;premiere
Saarländisches Staatstheater;Johann Strauss (Sohn) ;Die Fledermaus;Thomas Peuschel / Ralf Nürnberger;2013
Saarländisches Staatstheater;Johann Wolfgang von Goethe;Torquato Tasso;Frank Hoffmann;2011
Saarländisches Staatstheater;Johann Wolfgang von Goethe;Werther;Martin Pfaff;2009
Saarländisches Staatstheater;Johnny Lamprecht;Die Zaubertrommel;Bernhard Stengele;2007
Saarländisches Staatstheater;John Osborne;Blick zurück im Zorn;Martin Nimz;2013
Saarländisches Staatstheater;Jules Massenet;Werther;Thomas Peuschel / Jetske Mijnssen;2014
Saarländisches Staatstheater;Kathrin Röggla;Draußen tobt die Dunkelziffer;Daniele Kranz;2007
Saarländisches Staatstheater;Klaus Gehre;Titanic;Klaus Gehre;2015
Saarländisches Staatstheater;Knut Hamsun;Hunger;Alexandra Holtsch;2014
Saarländisches Staatstheater;Louis Théodore Gouvy;Der Cid;Toshiyuki Kamioka / Eimuntas Nekrosius;2011
Saarländisches Staatstheater;Ludwig van Beethoven;Fidelio;Andreas Wolf  / Jay Scheib;2011
Saarländisches Staatstheater;Ludwig van Beethoven;Fidelio;Andreas Wolf / Jay Scheib;2011
Saarländisches Staatstheater;Luigi Rossi / Stefan Scheib;Eurydike hinter Grenzen;Marcus Droß;2007
Saarländisches Staatstheater;Marc Haddon / Simon Stephens;Supergute Tage;Antje Thoms;2014
Saarländisches Staatstheater;Marguerte Donlon;Das Geheimnis der Unsterblichkeit;Marguerte Donlon;2011
Saarländisches Staatstheater;Marianna Salzmann;Muttersprache Mameloschn;Katharina Schmidt;2015
Saarländisches Staatstheater;Marion Aubert;Hochmut, Verfolgung und Enthauptung;Christopher Haninger;2011
Saarländisches Staatstheater;Maurice Ravel;L’Enfant et les Sortilèges;Solveig Bauer;2015
Saarländisches Staatstheater;Maxim Gorki;Was Shelenowa;Michael Talke;2014
Saarländisches Staatstheater;Molière;Der Menschenfeind;Dagmar Schlingmann;2008
Saarländisches Staatstheater;Nick Whitby / Ernst Lubitsch;Sein oder nichtsein;Deborah Epstein;2013
Saarländisches Staatstheater;Nikolai Rimski-Korsakow;Der goldene Hahn;Johannes Pölzgutter;2015
Saarländisches Staatstheater;Nis-Momme Stockmann;Das blaue blaue Meer;Jörg Wesemüller;2011
Saarländisches Staatstheater;Paul Abraham;Die Blume von Hawaii;Christophe Hellmann / Hinrich Horstkotte;2006
Saarländisches Staatstheater;Pierre Corneille;Horace;Daniela Kranz;2011
Saarländisches Staatstheater;Pietro Mascagni / Ruggero Leoncavallo;Cavalleria rusticana / Der Bajazzo;Inga Levant;2009
Saarländisches Staatstheater;Richard Strauss;Die Frau ohne Schatten;Toshiyuki Kamioka / Dominik Neuner;2014
Saarländisches Staatstheater;Richard Strauss;Salome;Constantin Trinks / Christopher Alden;2008
Saarländisches Staatstheater;Richard Wagner;Das Rheingold;Constantin Trinks / Christian Pöppelreiter;2006
Saarländisches Staatstheater;Richard Wagner;Der fliegende Holländer;Aurelia Eggers;2014
Saarländisches Staatstheater;Richard Wagner;Lohengrin;Constantin Trinks / Michael Sturm;2008
Saarländisches Staatstheater;Robert Louis Stevenson / Diem / Schröder;Der Flaschenteufel;Christoph Diem;2014
Saarländisches Staatstheater;Samuel Beckett;Warten auf Godot;Dagmar Schlingmann;2015
Saarländisches Staatstheater;Simon Stephens;Am Strand der weiten Welt;Daniela Kranz;2008
Saarländisches Staatstheater;Sophokles;Antigone;Hermann Schein;2007
Saarländisches Staatstheater;Sophokles;König Ödipus;Antje Thoms;2010
Saarländisches Staatstheater;Tamsin Oglesby;Ephebiphobia;Jörg Wesemüller;2013
Saarländisches Staatstheater;Tan Dun;Der erste Kaiser;Constantin Trinks / Denis Krief;2008
Saarländisches Staatstheater;Thomas Mann / John von Düffel;Buddenbrooks;Stephan Suschke;2008
Saarländisches Staatstheater;Vincenzo Bellini;Norma;Will Humburg / rosalie;2006
Saarländisches Staatstheater;Vladimir Nabokov;Der Pol;Christoph Diem;2010
Saarländisches Staatstheater;Wenedikt Jerofejew;Reise nach Petuschki;Laura Linnenbaum;2014
Saarländisches Staatstheater;Wilhelm Busch / Gertrud Pigor / Thomas Pigor;Weil mich doch der Kater frisst;Gertrud Pigor;2009
Saarländisches Staatstheater;William S. Burroughs / Tom Waits / Robert Wilson;The Black Rider;Daniel Pflugert;2015
Saarländisches Staatstheater;William Shakespeare;Ein Sommernachtstraum;Dagmar Schlingmann;2008
Saarländisches Staatstheater;William Shakespeare;König Lear;Hermann Schein;2008
Saarländisches Staatstheater;William Shakespeare;Romeo und Julia;Daniel Pfluger;2016
Saarländisches Staatstheater;Wladimir Deschewow;Eis und Stahl;Will Humburg / Imma Karaman;2007
Saarländisches Staatstheater;Wolfgang Amadeus Mozart;Die Zauberflöte;Constantin Trinks / Andreas Gergen;2006
Saarländisches Staatstheater;Wolfgang Amadeus Mozart;Don Giovanni;Nicholas Milton / Dagmar Schlingmann;2015
Saarländisches Staatstheater;Wolfgang Amadeus Mozart;La Finta giardiniera;Tom Ryser;2014
Saarländisches Staatstheater;Wolfgang Borchert;Draussen vor der Tür;Christoph Diem;2011
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Alban Berg;Lulu;Cornelius Meister / Stefan Herheim;2012
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Antonín Dvořák;Rusalka;Tomáš Netopil / Stefan Herheim;2010
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Benjamin Britten;Peter Grimes;Ivor Bolton / Sebastian Baumgarten;2007
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Cesar Cui;Der gestiefelte Kater;Hans Sotin / Mira Ebert;2011
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Dmitri Schostakowitsch;Moskau, Tscherjmuschki;Mikhail Agrest / Christine Mielitz;2014
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Engelbert Humperdinck;Hänsel und Gretel;Michael Hofstetter / Katharina Thalbach;2006
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Erich Kästner;Die Konferenz der Tiere;Katrin Wolfram / Therese Schmidt;2012
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Ernst Toch;Die Prinzessin auf der Erbse;Ekkehard Klemm;2012
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Eunsun Lee;Ein Vorfall in Kwangju;Hendrik Müller;2008
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Franz Lehár;Die lustige Witwe;Manfred Honeck / Jérome Savary;2007
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Gaetano Donizetti;Der Liebestrank;Riccardo Frizza / Michael Schulz;2012
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Georges Bizet;Carmen;Josep Caballé-Domenech / Axel Köhler;2013
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Georg Friedrich Händel;Alcina;Rainer Mühlbach / Jan Philipp Gloger;2011
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Giacomo Puccini;Tosca;Marco Guidarini / Johannes Schaaf;2009
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Gioachino Rossini;Der Barbier von Sevilla;Riccardo Frizza / Grischa Asagaroff;2008
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Giovanni Battista Martini;La Dirindina;Felice Venanzoni;2012
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Giovanni Battista Martini / Lucia Ronchetti;L’impresario delle Canarie;Felice Venanzoni / Axel Köhler;2014
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Giuseppe Verdi;Il Trovatore;Fabio Luisi / Dirk Kaftan / Michael Hampe;2008
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Giuseppe Verdi;L’Incoronazione di Poppea;Diego Fasolis  / Florentine Klepper;2011
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Giuseppe Verdi;Otello;Massimo Zanetti / Vera Nemirova;2006
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Giuseppe Verdi;Rigoletto;Fabio Luis i /Nikolaus Lehnhoff;2008
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Giuseppe Verdi;Simon Boccanegra;Christian Thielemann / Jan Philipp Gloger;2014
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Giuseppe Verdi;Un ballo in maschera;Carlo Montanaro;2011
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Hans Werner Henze / Christian Lehnert / Michael Kerstan;Gisela! oder: die denk- und merkwürdigen Wege des Glücks;Erik Nielsen / Elisabeth Stöppler;2010
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Hector Berlioz;La Damnation de Faust;Marc Albrecht / Keith Warner;2007
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Henry Purcell;Dido und Aeneas;Laura Poe / Manfred Weiß;2010
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Henry Purcell / John Dryden;King Arthur;Felice Venanzoni / Tilmann Köhler;2013
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Jaromír Weinberger;Schwanda, der Dudelsackpfeifer;Constantin Trnks / Axel Köhler;2012
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Johann Adolf Hasse;Il tutore;Johannes Wulff-Woesten / Manfred Weiß;2010
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Karl Amadeus Hartmann;Simplicius Simplicissmus;Erik Nielsen / Manfred Weiß;2011
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Kurt Weill;Street Scene;Jonathan Darlington / Bettina Bruinier;2011
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Léo Delibes;Coppelia;George Balanchine / Alexandra Danilova / Marius Petipa;2011
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Manfred Trojahn;La grande Magia;Jonathan Darlington / Albert Lang;2008
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Manos Tsangaris / Marcel Beyer;Karl May, Raum der Wahrheit;Erik Nielsen / Manfred Weiß;2014
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Modest Mussorgski;Boris Godunow;Sebastian Weigle / Christian Pade;2008
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Othmar Schoeck;Penthesilea;Gerd Albrecht / Günter Krämer;2008
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Paul Hindemith;Cardillac;Fabio Luisi / Philipp Himmelmann;2009
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Pjotr Iljitsch Tschaikowski;Der Nussknacker;Aaron S.Watkin;2011
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Richard Strauss;Daphne;Omer Meir Wellber / Torsten Fischer;2010
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Richard Strauss;Elektra;Christian Thielemann / Barbara Frey;2014
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Richard Strauss;Feuersnot;Stefan Klingele;2014
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Richard Strauss;Guntram;Omer Meir Wellber;2014
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Richard Wagner;Die Meistersinger;Fabio Luisi / Claus Guth;2007
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Stefan Johannes Hanke;Der Teufel mit den drei goldenen Haaren;Manfred Weiß;2013
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Stefan Weihrauch;Elisaveta Bam;Oliver Knick;2007
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Vincenzo Bellini;Beatrice di Tenda;Roberto Rizzi Brignoli;2007
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Wolfgang Amadeus Mozart;Così fan tutte;Omer Meir Wellber / Andreas Kriegenburg;2014
Sächsische Staatstheater - Staatsoper Dresden (Semperoper);Wolfgang Amadeus Mozart;La Clemenza di Tito;Tomáš Netopil / Bettina Brunier;2012
Sächsische Staatstheater - Staatsschauspiel Dresden;Ad de Bont;Mutter Afrika;Walter Meierjohann;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Aischylos;Prometheus;Holk Freytag;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Anton Tschechow;Die Möwe;Burkhard C. Kosminski;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Anton Tschechow;Platonow;Paolo Magelli;2008
Sächsische Staatstheater - Staatsschauspiel Dresden;Arthur Miller;Tod eines Handlungsreisenden;Jens-Daniel Herzog;2006
Sächsische Staatstheater - Staatsschauspiel Dresden;Bernard-Marie Koltès;Kampf des Negers und der Hunde;Olaf Altmann;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Bertolt Brecht;Der aufhaltsame Aufstieg des Arturo Ui;Tilmann Köhler;2014
Sächsische Staatstheater - Staatsschauspiel Dresden;Bertolt Brecht;Herr Puntila und sein Knecht Matti;Barbara Bürk;2012
Sächsische Staatstheater - Staatsschauspiel Dresden;Brüder Grimmelshausen;Der abenteuerliche Simplicissimus;Simon Solberg;2014
Sächsische Staatstheater - Staatsschauspiel Dresden;Carlo Goldoni;Der Diener zweier Herren;Bettina Bruinier;2013
Sächsische Staatstheater - Staatsschauspiel Dresden;Christian Lollike;Träume werden Wirklichkeit;Malte C. Lachmann;2014
Sächsische Staatstheater - Staatsschauspiel Dresden;Clare Boothe Luce;Damen der Gesellschaft;Simone Blattner;2012
Sächsische Staatstheater - Staatsschauspiel Dresden;Cornelia Funke;Reckless.  Steinernes Fleisch;Frank Panhans;2010
Sächsische Staatstheater - Staatsschauspiel Dresden;Cornelia Funke / Robert Koall;Tintenherz;Walter Meierjohann;2006
Sächsische Staatstheater - Staatsschauspiel Dresden;David Harrower;Blackbird;Beatrix Schwarzbach;2008
Sächsische Staatstheater - Staatsschauspiel Dresden;David Mamet;Race;Burkhard C . Kosminski;2012
Sächsische Staatstheater - Staatsschauspiel Dresden;Dea Loher;Das letzte Feuer;Niklaus Helbling;2009
Sächsische Staatstheater - Staatsschauspiel Dresden;Dirk Laucke;Alles Opfer!;David B. Brückel;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Erich Kästner;Klaus im Schrank oder Das verkehrte Weihnachtsfest;Susanne Lietzow;2013
Sächsische Staatstheater - Staatsschauspiel Dresden;Erik Gedeon;Ewig  jung;Erik Gedeon;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Ewald Palmetshofer;tier. man wird doch bitte unterschicht;Simone Blattner;2010
Sächsische Staatstheater - Staatsschauspiel Dresden;Ferenc Molnár;Liliom;Juliane Hölscher;2012
Sächsische Staatstheater - Staatsschauspiel Dresden;Fjodor Michailowitsch Dostojewski;Dämonen;Friederike Heller;2014
Sächsische Staatstheater - Staatsschauspiel Dresden;Franz Grillparzer;Die Jüdin von Toledo;Nuran David Calis;2014
Sächsische Staatstheater - Staatsschauspiel Dresden;Friedrich Dürrenmatt / Armin Petras;Das Versprechen;Andrea Thiesen;2009
Sächsische Staatstheater - Staatsschauspiel Dresden;Friedrich Hebbel;Maria Magdalena;Beatrix Schwarzbach;2009
Sächsische Staatstheater - Staatsschauspiel Dresden;Friedrich Schiller;Die Räuber;Sebastian Baumgarten;2012
Sächsische Staatstheater - Staatsschauspiel Dresden;Friedrich Schiller;Maria Stuart;Hermann Schein;2008
Sächsische Staatstheater - Staatsschauspiel Dresden;Georg Büchner / Tom Waits / Kathleen Brennan / Robert Wilson;Woyzeck;Sandra Strunz;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Georg Büchner / Tom Waits / Robert Wilson;Woyzeck;Sandra Strunz;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Georg Büchner;Woyzeck;Volker Lösch;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Georges Feydeau;Floh im Ohr;Klaus Dieter Kirst;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Gerhart Hauptmann;Einsame Menschen;Julia Hölscher;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Gerhart Hauptmann;Vor Sonnenaufgang;Paolo Magelli;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Gotthold Ephraim Lessing;Minna von Barnhelm;Simon Solberg;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Hans Fallada;Kleiner Mann, was nun?;Barbara Bürk;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Harry Mulisch;Das Brautbett;Stefan Bachmann;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Heinrich Mann / John von Düffel;Professor Unrat;Beat Fäh;2006
Sächsische Staatstheater - Staatsschauspiel Dresden;Heinrich von Kleist;Das Käthchen von Heilbronn;Julia Hölscher;2010
Sächsische Staatstheater - Staatsschauspiel Dresden;Heinrich von Kleist;Der zerbrochne Krug;Roger Vontobel;2012
Sächsische Staatstheater - Staatsschauspiel Dresden;Heinrich von Kleist;Michael Hohlhaas;Florian von Hoermann;2008
Sächsische Staatstheater - Staatsschauspiel Dresden;Henrik Ibsen;Gespenster;Klaus Dieter Kirst;2010
Sächsische Staatstheater - Staatsschauspiel Dresden;Henrik Ibsen;Hedda Gabler;Tilmann Köhler;2012
Sächsische Staatstheater - Staatsschauspiel Dresden;Henrik Ibsen;Nora;Bettina Bruinier;2008
Sächsische Staatstheater - Staatsschauspiel Dresden;Hermann Hesse / Joachim Lux;Der Steppenwolf;Matthias Gehrt;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Janne Teller;Nichts;Tilmann Köhler;2012
Sächsische Staatstheater - Staatsschauspiel Dresden;Jean-Paul Sartre;Die schmutzigen Hände;Simon Solberg;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Jean-Paul Sartre;Die Troerinnen des Euripides;Holk Freytag;2009
Sächsische Staatstheater - Staatsschauspiel Dresden;Jochen Schmidt;Schneckenmühle;Robert Lehniger;2013
Sächsische Staatstheater - Staatsschauspiel Dresden;Johann Wolfgang von Goethe;Die Leiden des jungen Werther;Michael Simon;2006
Sächsische Staatstheater - Staatsschauspiel Dresden;Johann Wolfgang von Goethe;Faust I;Holk Freytag;2006
Sächsische Staatstheater - Staatsschauspiel Dresden;Johann Wolfgang von Goethe;Faust II;Holk Freytag;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Johann Wolfgang von Goethe;Reineke Fuchs;Susanne Lietzow;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;John Dryden / Henry Purcell / Armin Petras;King Arthur;Tilmann Köhler;2013
Sächsische Staatstheater - Staatsschauspiel Dresden;Jonathan Lichtenstein;Die Überwindung der Schwerkraft;Yvonne Groneberg;2006
Sächsische Staatstheater - Staatsschauspiel Dresden;Juli Zeh;Corpus Delicti;Susanne Lietzow;2014
Sächsische Staatstheater - Staatsschauspiel Dresden;Lukas Bärfuss;20000 Seiten;Burkhard C. Kosminski;2014
Sächsische Staatstheater - Staatsschauspiel Dresden;Lukas Bärfuss;Der Bus (Das Zeug einer Heiligen);Martin Nimz;2008
Sächsische Staatstheater - Staatsschauspiel Dresden;Lutz Hübner;Die Firma dankt;Susanne Lietzow;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Lutz Hübner / Sarah Nemitz;Ein Exempel;Jan Gehler;2014
Sächsische Staatstheater - Staatsschauspiel Dresden;Marcel Luxinger;Sieben Schritte zur Selbstauflösung;Bettina Bruinier;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Marc Haddon / Simon Stephens;Supergute Tage oder Die sonderbare Welt des Christopher Boone;Jan Gehler;2013
Sächsische Staatstheater - Staatsschauspiel Dresden;Margareth Obexer;Der Zwilling;Nina Gühlstorff;2006
Sächsische Staatstheater - Staatsschauspiel Dresden;Margareth Obexer;Vom guten Leben;Nina Gühlstorff;2008
Sächsische Staatstheater - Staatsschauspiel Dresden;Martin Heckmanns;Es ist angerichtet;Christoph Frick;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Matéï Visniec;Die Geschichte von den Pandabären;Gergana Dimitrova;2006
Sächsische Staatstheater - Staatsschauspiel Dresden;Max Frisch;Andorra;Uli Jäckle;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Michail Bulgakow;Der Meister und Margarita;Wolfgang Engel;2012
Sächsische Staatstheater - Staatsschauspiel Dresden;Milo Rau;Pornografia;Simone Eisenring;2006
Sächsische Staatstheater - Staatsschauspiel Dresden;Molière;Der eingebildet Kranke;Klaus Dieter Kirst;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Molière;Tartuffe;Kay Voges;2008
Sächsische Staatstheater - Staatsschauspiel Dresden;Nikolai Erdman;Der Selbstmörder;Thomas Birkmeir;2014
Sächsische Staatstheater - Staatsschauspiel Dresden;Norton.commander.productions;Angst;Peter Meining / Harriet Meining;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Ödön von Horváth;Geschichten aus dem Wiener Wald;Barbara Bürk;2013
Sächsische Staatstheater - Staatsschauspiel Dresden;Patrick Barlow;Der Messias;Walter Meierjohann;2008
Sächsische Staatstheater - Staatsschauspiel Dresden;Peter Weiss;Marat / Sade;Friederike Heller;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Rebekka Kricheldorf;Neues Glück mit totem Model;Markus Heinzelmann;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Robert Musil;Die Schwärmer;Paolo Magelli;2009
Sächsische Staatstheater - Staatsschauspiel Dresden;Roland Schimmelpfennig;Stück;Burkhard Klaußner;2012
Sächsische Staatstheater - Staatsschauspiel Dresden;Sophokles;Antigone;Sebastian Baumgarten;2014
Sächsische Staatstheater - Staatsschauspiel Dresden;Sophokles;Antigone;Yael Ronen;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Sophokles;König Oedipus;Tilmann Köhler;2010
Sächsische Staatstheater - Staatsschauspiel Dresden;Tennessee Williams;Die Glasmenagerie;Christoph Roos;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Tennessee Williams;Die Katze auf dem heissen Blechdach;Sabine auf der Heyde;2010
Sächsische Staatstheater - Staatsschauspiel Dresden;Thomas Freyer;Der König ist tot;Tilmann Köhler;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Thomas Freyer;Separatisten;Arne Böge;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Uwe Tellkamp;Der Turm;Wolfgang Engel;2010
Sächsische Staatstheater - Staatsschauspiel Dresden;William Shakespeare;Der Kaufmann von Venedig;Tilmann Köhler;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;William Shakespeare;Ein Sommernachtstraum;Fabian Gerhardt;2012
Sächsische Staatstheater - Staatsschauspiel Dresden;William Shakespeare;Ein Sommernachtstraum;Kay Voges;2009
Sächsische Staatstheater - Staatsschauspiel Dresden;William Shakespeare;König Lear;Holk Freytag;2008
Sächsische Staatstheater - Staatsschauspiel Dresden;William Shakespeare;Othello;Niklaus Helbling;2008
Sächsische Staatstheater - Staatsschauspiel Dresden;William Shakespeare;Viel Lärm um nichts;Thomas Birkmeir;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;William Shakespeare;Was ihr wollt;Andreas Kriegenburg;2014
Sächsische Staatstheater - Staatsschauspiel Dresden;William Shakespeare;Was ihr wollt;Niklaus Helbling;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Wolfgang Herrndorf;Tschick;Jan Gehler;2011
Sächsische Staatstheater - Staatsschauspiel Dresden;Woody Allen;Spiels nochmal, Sam;Constanze Kreusch;2007
Sächsische Staatstheater - Staatsschauspiel Dresden;Yasmina Reza;Der Gott des Gemetzels;Beat Fäh;2007
Salzburger Festspiele;Wolfgang Amadeus Mozart;Così fan tutte;Claus Guth;2008
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Andrew Lloyd Webber / Tim Rice;Evita;Ulf Dietrich;2015
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Anton Tschechow;Onkel Wanja;Stefanie Stroebele;2014
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Axel Weidemann / Kim Langner;Schlaraffenland in Gefahr;Kim Langner;2014
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Chantal Akerman;Eine Couch in New York;Manfred Langner;2015
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Daniel Glattauer / Ulrike Zemme;Alle sieben Wellen;Peter Kühn;2014
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Eric Assous;Der Putzteufel;Ulf Dietrich;2013
Schauspielbühnen in Stuttgart - Altes Schauspielhaus u. Komödie im Marquardt;Felix Huby / Dieter de Lazzer;Selbst ist der Mann;Volker Jeck;2006
Schauspielbühnen in Stuttgart - Altes Schauspielhaus u. Komödie im Marquardt;Friedrich Schiller;Fiesco;Volkmar Kamm / Carl P. v. Maldeghem;2007
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Gotthold Ephraim Lessing;Minna von Barnhelm;Manfred Langner;2014
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Günter Grass;Die Blechtrommel;Volkmar Kamm;2015
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Hans Fallada;Jeder stirbt für sich allein;Volkmar Kamm;2014
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Heinrich Spoerl / Wilfried Schröder;Die Feuerzangenbowle;Kim Langner;2016
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Henry Mancini;Victor / Victoria;Ulf Dietrich;2014
Schauspielbühnen in Stuttgart - Altes Schauspielhaus u. Komödie im Marquardt;Jane Austen;Sinn und Sinnlichkeit;Karina Thayenthal;2007
Schauspielbühnen in Stuttgart - Altes Schauspielhaus u. Komödie im Marquardt;Jerry Herman / Harvey Fierstein;La Cage aux Folles;Klaus Seiffert;2006
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Josiane Balasko;Liebe, Lügen, Lampenfieber;Manfred Langner;2016
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Lothar-Günther Buchheim;Das Boot;Manfred Langner;2013
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Lutz Hübner;Blütenträume;Ulf Dietrich;2013
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Michael Pertwee;Sextett;Ulf Dietrich;2015
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Neil Simon;Bärfuss im Park;Ulf Dietrich;2014
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Pam Gems;Piaf;Ulf Dietrich;2016
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Peter Yeldham;Auf und davon;Manfred Langner;2014
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Philippe Grimbert;Un Secret – Ein Geheimnis;Yan Tassin;2014
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;René Heinersdorff;Aufguss;René Heinersdorff;2015
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Terry Johnson;Reine Hysterie;Manfred Langner;2015
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Tilman von Blomberg;Heisse Zeiten;Katja Wolff;2014
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Tobias Bungter;Das tapfere Schneiderlein und die mutige Prinzessin;Lisa Quang / Lara Quang;2013
Schauspielbühnen in Stuttgart- Altes Schauspielhaus u. Komödie im Marquardt;Tobias Bungter;Sherlock Holmes und die Kehrwoche des Todes;Tobias Bungter;2015
